id,title,label
74,TRAAM - L'infection par le VIH,12
75,La contrainte budgétaire,10
76,Construire des sujets,10
77,Comment Las Vegas gère-t-elle son approvisionnement en eau et en électricité ? ,5
78,Etude de cas: Le changement climatique et ses effets sur un espace densément peuplé : le littoral de la mer du Nord,5
79,Ce détail c'est tout moi,0
80,Violence et société,10
81,Les chocs d'offre et de demande,10
82,"QCM sur la croissance, le PIB et l'IDH",10
83,Etudier les divisions politiques du monde : les frontières,5
84,Le fond c'est l'histoire,0
86,Escape game autour de Berlin au temps de la Guerre Froide.,5
87,L'apport des Arts Plastiques dans les valeurs de la République,0
88,"Le service de pollinisation rendu par les abeilles L'objectif est d'illustrer la notion de substitution entre les capitaux naturels, physiques et humains.",10
89,Géographie prospective,5
90,La biosynthese des proteines,11
91,Enseigner l'Histoire par les images,5
93,Les instruments de la politique climatique,10
94,Exercice d'appariement sur les instruments des politiques climatiques,10
95,Pâtes à la sauce creusotine,9
97,L’intervention des pouvoirs publics face aux différentes défaillances de marché,10
98,Des sujets de devoir type épreuve composée pour la classe de première,10
99,Surréservation dans les avions,7
100,Travailler sur l’apprentissage de la compétence orale et sur sa progressivité en géographie.,3
101,COMMENT LES AGENTS ECONOMIQUES SE FINANCENT-ILS ?,10
102,Lien social et ruptures des liens sociaux,10
104,Un crime au collège !,9
105,5cm au dessus du bitume,0
106,L'évolution du taux de syndicalisation (2),10
107,La Première Guerre mondiale,5
108,Mesure du pH d'une solution d'acide lactique,9
110,"Travail, emploi, chômage",10
111,Traam 2019 : Modéliser les réserves de pétrole au lycée ,11
112,analyser une base de données en histoire : l'exemple de la traite transatlantique,5
113,"L'eau: étude de cas, la vallée du Nil (Egypte)",5
114,Histoires de Venise au Moyen-Age. S'approprier des connaissances historiques par l'écriture d'un récit collaboratif numérique ,5
115,Graphe des positions et des vitesses,9
116,France-Allemagne : le grand écart démographique,10
117,Exercice d'appariement sur les régulations marchandes ou administrées du système de santé,10
118,Les marchés financiers : Cotation des actions et des obligations sur le marché financier,10
119,méthode  historique d'évaluation de la distance Terre-Lune et du diamètre de la Lune,9
120,Christopher Wool au MAMVP,0
121,La crise de 2007-2010,10
122,C3 La matérialité de la production plastique et la sensibilité aux constituants de l'oeuvre - Réseau saturé,0
123,Quelles politiques pour l'emploi ?,10
124,Suivre les traces d'une acteur de la Compagnie des Indes,5
125,La typologie des biens collectifs,10
126,Les effets d'une variation du taux de change,10
127,La croissance économique est-elle compatible avec la préservation de l'environnement ? Préparation au raisonnement argumenté,10
128,Revoir l'étude de document à partir du tableau sur l'origine de la croissance,10
129,Exercice sur la périodisation,5
130,Mots croisés - Comment l'entreprise produit-elle ?,10
131,Mots croisés - Comment la dynamique démographique influe-t-elle sur la croissance économique ?,10
132,C3 La matérialité de la production plastique et la sensibilité aux constituants de l'oeuvre - Un outil pour peindre,0
133,Mots croisés - Quel est l'impact des variables économiques et démographiques sur le financement de la protection sociale ?,10
134,Mots croisés - Dans quelles circonstances les entreprises peuvent-elles exercer un pouvoir de marché ?,10
135,Mots croisés - Quel est le rôle de la politique de la concurrence ?,10
136,"C4 L'oeuvre, l'espace, l'auteur, le spectateur - De près, de loin (Progression 3 niveaux)",0
137,Mots croisés - Qu'est ce que la globalisation financière ?,10
139,Mots croisés - Comment expliquer les crises financières et réguler le système financier ?,10
140,Vivre à Alger au début du XXe,5
141,Mise en oeuvre d'un espace d'apprentissage actif en STS MUC,14
142,Nouveaux programmes de français : tableaux d'aide pour construire ses séquences sans rien oublier,3
143,Une épreuve composée sous la forme d'un exercice interactif,10
144,Un exemple de modélisation économique : la droite de budget (corrigé),10
145,Un exemple de modélisation économique : la droite de budget (doc élève),10
147,"Lien hypertexte, zone hypersensible",3
148,"Lire, écrire et publier des romans dystopiques",3
150,"C4 L'oeuvre, l'espace, l'auteur, le spectateur - In situ",0
151,Réaliser une émission de radio d’histoire avec ses élèves pour travailler l’oral,5
152,Le partage de la valeur ajoutée,10
153,La répartition primaire des revenus,10
154,Des exercices d'auto évaluation sous la forme d'un livre Didapages,10
155,"Travailler l’oral sous la forme d’une ""webradio""",5
156,Ressources TICE dans les SVT,11
157,Comment retrace-t-on les échanges extérieurs d'un pays ?,10
158,Les mécanismes du marché,10
160,Cirque de Salazie.,11
161,"C4 L'oeuvre, l'espace, l'auteur, le spectateur - Peinture assaisonnée, Fashion peinture",0
163,choix des composants pour capter une station de radio,9
164,Le déplacement des courbes,10
165,C3 La matérialité de la production plastique et la sensibilité aux constituants de l'oeuvre - Un outil pour motif,0
170,Mugearite.,11
171,ETUDE ECOSYSTEME FORESTIER.,11
173,Le B2i en lycée : étude de la division cellulaire - la mitose dans une racine,11
174,L'analyse de l'air par Lavoisier,9
175,Géoprospective en volant : utilisation d'un drone pour identifier les risques,5
176,Arret 7 : Le cratere Commerson.,11
177,Simulations Java en 3D du mouvement d'un satellite,9
178,Animation sur l'étude d'un son.,9
179,Arret 6 : Vue sur le remplissage du Nez de Boeuf.,11
180,C3 La matérialité de la production plastique et la sensibilité aux constituants de l'oeuvre - Comme de la dentelle,0
181,Simulation Java sur le mouvement d'une balle en rotation dans l'air. Effet Magnus,9
182,Arret 1 : Vue sur la Fournaise ancienne.,11
183,Se préparer à la partie 2 de l'épreuve composée,10
184,Se préparer à la partie 2 de l'épreuve composée,10
185,Se préparer à la partie 2 de l'épreuve composée,10
187,De la guerre froide aux nouvelles conflictualités : l’infographie comme support de production à l’oral,5
188,TNI - Terminale ES - Évolution du PIB,10
190,Les récifs coralliens en Guadeloupe,11
191,Gènes néandertaliens et forme du crâne,11
192,C3 La matérialité de la production plastique et la sensibilité aux constituants de l'oeuvre - Géant ou minuscule,0
193,C3 La matérialité de la production plastique et la sensibilité aux constituants de l'oeuvre - Nuages et matérialité,0
194,Mots croisés - Qu'est-ce qu'un marché ?,10
195,Mots croisés - Comment un marché concurrentiel fonctionne-t-il ?,10
196,Mots croisés - Comment les marchés imparfaitement concurrentiels fonctionnent-ils ?,10
197,Mots croisés - Quelles sont les principales défaillances du marché ?,10
199,Mots croisés - À quoi sert la monnaie ?,10
200,Mots croisés - Comment l'activité économique est-elle financée ?,10
201,Mots croisés - Qui crée la monnaie ?,10
202,Entreprise et production,10
203,Grilles d'évaluation pour l'EC1 et l'EC2,10
205,Mots croisés -Pourquoi la puissance publique intervient-elle dans la régulation des économies contemporaines ?,10
206,Mots croisés - Comment le budget de l'État permet-il d'agir sur l'économie ?,10
207,Mots croisés - Quelles politiques conjoncturelles ?,10
208,Deux fiches d'activités sur la formation des prix sur un marché,10
209,Comment les autorités publiques de la zone euro peuvent elles faire face à une crise économique? (Sujet 2),10
211,Comment les chocs d'offre ou de demande peuvent ils contribuer à expliquer les fluctuations économiques?,10
212,Quels sont les facteurs de l'explosion du commerce international ? (sujet 1),10
213,Quels sont les facteurs de l'explosion du commerce international ? (sujet 2),10
214,QUELLES DIFFICULTÉS RENCONTRE L'UNION EUROPÉENNE POUR AFFONTER LE CONTEXTE ÉCONOMIQUE ET MONÉTAIRE INTERNATIONAL? (Sujet 1),10
215,En quoi les inégalités sont-elles cumulatives ? (Sujet 1),10
216,QUELLES DIFFICULTÉS RENCONTRE L'UNION EUROPÉENNE POUR AFFONTER LE CONTEXTE ÉCONOMIQUE ET MONÉTAIRE INTERNATIONAL? (Sujet 2),10
217,La décroissance positive,0
218,La recherche du développement durable remet&#8208;elle en cause le modèle actuel de la croissance? (Sujet 1),10
219,La recherche du developpement durable remet-elle en cause le modele actuel de la croissance? (Sujet 2),10
220,Comment la famille influe--t-elle sur la mobilite sociale ? (Sujet 2),10
221,La recherche du developpement durable remet-elle en cause le modele actuel de la croissance? (Sujet 3),10
222,La taxation est-elle l'unique instrument economique de la politique climatique ?,10
223,En quoi les inégalités scolaires sont-elles liées au milieu social ? (Sujet 1),10
224,En quoi les inégalités scolaires sont-elles liées au milieu social ? (sujet 2),10
225,Un exercice interactif sur les modes de financement,10
226,En quoi les inégalités scolaires sont-elles liées au milieu social ? (sujet 2),10
228,L'analyse de la structure sociale en termes de en termes de categories socioprofessionnelles est-elle encore pertinente ?,10
229,Vous montrerez les limites de la mobilité sociale?,10
230,Comment la famille influe-t-elle sur la mobilite sociale? (sujet 1),10
231,modéliser le mécanisme des saisons : maquettes et assemblage,11
232,Dans quelle mesure les evolutions de la famille et de l'emploi remettent--elles en cause l'integration sociale ?,10
233,Dans quelle mesure les mutations du monde du travail modifient&#8208;elles les conflits du travail ? (sujet 1),10
234,Dans quelle mesure les mutations du monde du travail modifient&#8208;elles les conflits du travail ? (sujet 2),10
235,En quoi les conflits du travail ont&#8208;ils évolué au cours des dernières décennies ? (Sujet 1),10
236,Légender une microphotographie de pancréas.,11
237,En quoi les conflits du travail ont-ils evolue au cours des dernieres decennies ? (Sujet 2),10
238,Les conflits sociaux revelent-ils toujours un manque de cohesion sociale ?,10
239,"Vous analyserez le rôle de l 'école dans la cohésion sociale en France, aujourd'hui.",10
240,L'analyse néoclassique du marché du travail est-elle pertinente ? (sujet 1),10
241,Mots croisés - Comment les rapports sociaux s'organisent-ils au sein de l'entreprise ?,10
242,L'analyse néoclassique du marché du travail est-elle pertinente ? (sujet 2),10
243,Comment devenons nous des acteurs sociaux ?,10
244,L'analyse néoclassique du marché du travail est-elle pertinente ? (sujet 3),10
245,"En prenant l'exemple français, vous montrerez l'impact de la variation des taux de change sur la compétitivité-prix. (Sujet 1)",10
246,"En prenant lfexemple francais, vous montrerez l'impact de la variation des taux de change sur la competitivite-prix. (Sujet 2)",10
247,Le cout du travail suffit-il a expliquer les strategies de localisation des firmes transnationales ?,10
248,L'Organisation judiciaire en France,10
249,LES SOURCES CREATRICE DU DROIT,10
250,LES CARACTÉRISTIQUES DE LA REGLE DE DROIT.,10
252,L'ordonnancement juridique.,10
253,Quiz sur les politiques budgétaires de relance,10
254,La jurisprudence est-elle une source du droit ?,10
255,Un test de personnalité,10
256,Fonction de production et contribution des facteurs à la croissance du PIB,10
257,La titrisation,10
259,Le modèle britannique et son influence,5
260,QCM de révisions,10
261,Programmes officiels de la nouvelle série STL Biotechnologies,12
262,Un quiz sur les fonctions de la monnaie,10
263,Les prélèvements obligatoires,10
264,Présentation de la série ES,10
265,"Un questionnaire sur la socialisation différenciée à partir d'une bande annonce du film Billy Elliot, avec google drive.",10
267,Mots croisés - Quelles sont les composantes institutionnelles des régimes politiques démocratiques ?,10
268,étude de cas sur un aménagement éolien,5
269,DD et alimentation au brésil,5
270,Mots croisés - Comment s'organise la compétition politique en démocratie ?,10
271,Mots croisés - Quelle est la contribution des organisations politiques au fonctionnement de la démocratie ?,10
272,Histologie des voies respiratoires,12
273,Mots croisés - Comment l'État-providence contribue-t-il à la cohésion sociale ?,10
274,Mots croisés - Comment un phénomène social devient-il un problème public ?,10
275,Mots croisés - Quelle est l'influence de la culture politique sur les attitudes politiques ?,10
276,Mots croisés -Quels sont les répertoires de l'action politique aujourd'hui ?,10
277,Espoirs d'un ordre mondial,5
278,Mots croisés - Comment expliquer le comportement électoral ?,10
279,Mots croisés - Comment la socialisation de l'enfant s'effectue-t-elle ?,10
280,Mots croisés - De la socialisation de l'enfant à la socialisation de l'adulte : continuité ou ruptures ?,10
281,Mots croisés -Comment les individus s'associent-ils pour constituer des groupes sociaux ?,10
282,Mots croisés - Comment les réseaux sociaux fonctionnent-ils ?,10
283,"DÉBAT : LE DIPLÔME, UN PASSEPORT POUR L'EMPLOI ?",10
284,Mots croisés - Comment le contrôle social s'exerce-t-il aujourd'hui ?,10
285,Fiche d'activités sur la pluralité des influences socialisatrices.,10
286,La géothermie est elle utilisable dans le Nord-Est de la France?,11
287,L'inflation,10
288,Fiche d'activités sur la nomenclature des PCS,10
289,Plan de travail pour aborder l'urbanisation dans le monde,5
290,SynchrOscill,9
291,Grille d'évaluation EC3,10
292,Présentation des spécialités en terminale.,10
294,Mots croisés - Pourquoi un ordre politique ?,10
295,Mots croisés - Quelles sont les formes institutionnelles de l'ordre politique ?,10
296,"Une introduction aux SES en classe de seconde, avec un questionnaire Google drive.",10
297,"Un questionnaire sur le pouvoir d'achat, à partir d'une video de ""Dessine-moi l'économie"", avec google drive.",10
298,Mots croisés - Quel est l'impact de la construction européenne sur l'action publique ?,10
299,Cours inversé - Première - Thème 11 - Chapitre 1 : Comment l'État-providence contribue-t-il à la cohésion sociale ?,10
300,Cours inversé - Seconde - Introduction à la démarche des SES à travers l'étude du sport,10
301,"Cours inversé - Seconde - Chapitre 4.1 : le diplôme un passeport pour l'emploi ? 1/5 - Travail, activité, emploi",10
302,Cours inversé - Seconde - Chapitre 4.1 : le diplôme un passeport pour l'emploi ? 2/5 - L'évolution des qualifications,10
304,Cours inversé - Seconde - Chapitre 4.1 : le diplôme un passeport pour l'emploi ? 3/5 - Diplôme et chômage,10
305,Cours inversé - Seconde - Chapitre 4.1 : le diplôme un passeport pour l'emploi ? 4/5 - Le diplôme et son rendement,10
306,Cours inversé - Seconde - Chapitre 4.1 : le diplôme un passeport pour l'emploi ? 5/5 - Quelle égalité des chances à l'école ?,10
307,Cours inversé - Seconde - Chapitre 4.2 : le chômage : des coûts salariaux trop élevés ou une insuffisance de la demande ? 1/3 - Emploi et chômage,10
308,Cours inversé - Seconde - Chapitre 4.2 : le chômage : des coûts salariaux trop élevés ou une insuffisance de la demande ? 2/3 - Le salaire est un coût,10
309,"Traam 2017-18 : ""Classe inversée et échanges BYOD collaboratifs : utilisation d'un mini-routeur""",11
310,Cours inversé - Seconde - Chapitre 4.2 : le chômage : des coûts salariaux trop élevés ou une insuffisance de la demande ? 3/3 - Le salaire est un revenu,10
311,Cours inversé - Terminale - Chapitre 5.1 : quels liens sociaux dans des sociétés où s'affirme le primat de l'individu ?  - Sur quoi repose la cohésion sociale ?,10
312,Le processus de création monétaire,10
314,Introduire la périodisation ,5
315,Projet Jeu sérieux sur les solutions aux chômage,10
316,Distinguer biens communs et biens collectifs avec Arbres (Arborescences des notions de sciences économiques et sociales),10
317,"Grèce, crise et châtiments",10
318,Réaliser une capsule vidéo sur les GAFAM,5
319,La guerre des prix sur le marché de la téléphonie en France,10
320,La réalisation de « kits robots » en 3ème,13
322,L'enjeu énergétique : étude de cas sur la Chine et sa mise en perspective,5
323,Séquençage du génome,11
325,Textes lacunaires sur le fonctionnement des marchés. ,10
327,Une évaluation sur le fonctionnement des marchés concurrentiels,10
328,Evaluation en seconde en fin de chapitre,10
329,Une activité genially sur le thème de l'organisation et de la gouvernance des entreprises.,10
330,E3C partie 1 sur le marché avec son corrigé. ,10
331,QCM sur le genre Helicobacter,12
332,Un sujet d'E3C partie 2 sur le marché accompagné du corrigé,10
335,Un sujet d'E3C partie 2 sur les marchés imparfaitement concurrentiels accompagné du corrigé.,10
336,Les débuts du judaïsme et du christianisme,5
337,"Un sujet d'E3C, la partie 1 sur le lien social, la partie 2 sur les monopoles.",10
338,Socrative taux de change,10
339,Socrative correction EC1et2 sources croissance,10
340,Socrative Avantages comparatifs,10
341,montage et utilisation d'un radiomètre artisanal.,11
342,Onde sismique et structure du globe : Ralentissement des ondes sismiques en profondeur,11
343,Onde sismique et structure du globe : Ralentissement des ondes sismiques en profondeur,11
344,Cours inversé - Méthodologie - Épreuve composée - Raisonnement sur dossier documentaire,10
345,Cours inversé - Première - Regards croisées - Action publique et régulation - Comment un phénomène social devient-il un problème public ?,10
346,Cours inversé - Première - Science économique - Régulations et déséquilibres macroéconomiques - Pourquoi la puissance publique intervient-elle dans la régulation des économies contemporaines ?,10
347,Cours inversé - Méthodologie - Épreuve composée - Étude de document,10
348,"Un sujet d'E3C,  partie 1 sur le solde budgétaire,  partie 2 sur la déviance.",10
349,Cours inversé - Méthodologie - Oral de rattrapage,10
350,Cours inversé - Méthodologie - Valeur et volume,10
351,"Cours inversé - Première - Science économique - Les grandes questions que se posent les économistes - Dans un monde aux ressources limitées, comment faire des choix ?",10
352,Cours inversé - Première - Science économique - Les grandes questions que se posent les économistes - Que produit-on et comment le mesure-t-on ?,10
353,Cours inversé - Première - Science économique - Les grandes questions que se posent les économistes - Comment répartir les revenus et la richesse ?,10
354,Cours inversé - Première - Science économique - Les grandes questions que se posent les économistes - Quels sont les grands équilibres macroéconomiques ?,10
355,Cours inversé - Première - Sociologie générale et sociologie politique - Les processus de socialisation et la construction des identités sociales - Comment la socialisation de l'enfant s'effectue-t-elle ?,10
356,Cours inversé - Première - Sociologie générale et sociologie politique - Les processus de socialisation et la construction des identités sociales - De la socialisation de l'enfant à la socialisation de l'adulte : continuité ou ruptures ?,10
357,Cours inversé - Première - Sociologie générale et sociologie politique - Contrôle social et déviance - Comment mesurer le niveau de la délinquance ?,10
358,"Cours inversé - Terminale - Regards croisés - Travail, emploi, chômage - Comment s'articulent marché du travail et gestion de l'emploi ? - L'analyse néoclassique du marché du travail",10
359,Cours inversé - Méthodologie - Dissertation - Présentation générale,10
360,Cours inversé - Méthodologie - Dissertation ou EC3 - Analyse du sujet,10
361,Cours inversé -  Méthodologie - Dissertation - Étude de documents,10
362,"Cours inversé - Terminale - Regards croisés - Travail, emploi, chômage - Lutter contre le chômage classique (1/4)",10
364,"Cours inversé - Terminale - Regards croisés - Travail, emploi, chômage - Lutter contre le chômage keynésien (2/4)",10
365,"Cours inversé - Terminale - Regards croisés - Travail, emploi, chômage - Lutter contre le chômage structurel (3/4)",10
366,"Cours inversé - Terminale - Regards croisés - Travail, emploi, chômage - Évolutions de l'emploi et intégration sociale (4/4)",10
367,Cours inversé - Méthodologie - Dissertation - La rédaction,10
368,La coordination par le marché,10
369,Evaluations formatives avec Moodle,14
370,Cours inversé - Seconde - La consommation : un marqueur social ? - Les choix de consommation sont socialement différenciés (1/2),10
371,Cours inversé - Seconde - La consommation : un marqueur social ? - L'influence de la mode et de la publicité dans les choix de consommation (2/2),10
372,Un sujet d'E3C partie 1 sur la socialisation  partie 2 sur le financement  ,10
373,Cours inversé - Première - Science économique - Comment l'entreprise produit-elle ? - Qu'est-ce qui différencie les entreprises ?,10
374,Cours inversé - Première - Science économique - Comment l'entreprise produit-elle ? - Comment les entreprises produisent-elles ?,10
375,Action publique et régulation,10
376,Cours inversé - Première - Science économique - Comment l'entreprise produit-elle ? - Combien produire ?,10
377,Reconstruction 3D de l'abdomen,12
378,Cours inversé - Première - Science économique - Comment l'entreprise produit-elle ? - Comment mesurer la performance économique de l'entreprise ?,10
379,Cours inversé - Première - Sociologie - Groupes et réseaux sociaux - Comment les individus s'associent-ils pour constituer des groupes sociaux ?,10
380,Cours inversé - Première - Sociologie - Groupes et réseaux sociaux - Comment les réseaux sociaux fonctionnent-ils ?,10
382,Cours inversé - Seconde - Comment devenons-nous des acteurs sociaux ? - Le processus de socialisation (1/3),10
383,Étude d'une œuvre intégrale : un cœur simple de Flaubert,3
384,La monnaie et le financement de l'économie,10
385,Cours inversé - Seconde - Comment devenons-nous des acteurs sociaux ? - Instances et mécanismes de socialisation (2/3),10
386,Cours inversé - Seconde - Comment devenons-nous des acteurs sociaux ? - La socialisation différenciée (3/3),10
388,Cours inversé - Première - Science économique - La coordination par le marché - Qu'est-ce qu'un marché ?,10
389,Cours inversé - Première - Science économique - La coordination par le marché - Comment un marché concurrentiel fonctionne-t-il ?,10
390,Cours inversé - Première - Science économique - La coordination par le marché - Comment les marchés imparfaitement concurrentiels fonctionnent-ils ?,10
391,Cours inversé - Première - Science économique - La coordination par le marché - Quelles sont les principales défaillances du marché ?,10
392,Cours inversé - Seconde - Comment expliquer les différences de pratiques culturelles ? - Culture de masse et diversité des pratiques culturelles (1/2),10
393,Un exemple de DIDAPAGE en PHYSIQUE,9
394,Cours inversé - Seconde - Comment expliquer les différences de pratiques culturelles ? - Les déterminants sociaux des pratiques culturelles (2/2),10
395,Cours inversé - Première - Sociologie - Contrôle social et déviance - Comment le contrôle social s'exerce-t-il aujourd'hui ?,10
396,Cours inversé - Première - Sociologie - Contrôle social et déviance - Quels sont les processus qui conduisent à la déviance ?,10
397,Image d'un scanner cérébral,12
398,Cours inversé - Première - Science économique - La monnaie et le financement - Le contrôle de la création monétaire,10
400,"Cours inversé - Première - Regards croisés - Entreprise, institution, organisation - Comment les rapports sociaux s'organisent-ils au sein de l'entreprise ?",10
401,Cours inversé - Première - Science économique - La monnaie et le financement - À quoi sert la monnaie ?,10
402,Cours inversé - Première - Science économique - La monnaie et le financement - Comment l'activité économique est-elle financée ?,10
403,Cours inversé - Première - Science économique - La monnaie et le financement - Qui crée la monnaie ?,10
405,Les grandes questions que se posent les économistes,10
406,Cours inversé - Première - Science économique -Régulations et déséquilibres macroéconomiques - Comment le budget de l'État permet-il d'agir sur l'économie ?,10
407,Cours inversé - Première - Science économique -Régulations et déséquilibres macroéconomiques - Quelles politiques conjoncturelles ?,10
408,Le revenu disponible brut des ménages,10
409,Production d'arôme de Roquefort en bioréacteur.,12
410,Comment les revenus et les prix influencent-ils les choix des consommateurs ?,10
411,La consommation : un marqueur social ?,10
412,Annales de bac STL-BGB,12
413,"Atelier FIG 2018 : Diagnostiquer, mesurer et gérer les risques impactant le littoral normand avec Édugéo et son module statistiques",3
415,Comment se forment les prix sur un marché ?,10
416,La pollution : comment remédier aux limites du marché ?,10
417,Le diplôme : un passeport pour l'emploi ?,10
418,Régulations et déséquilibres macroéconomiques,10
419,Les processus de socialisation et la construction des identités sociales,10
420,Groupes et réseaux sociaux,10
421,Contrôle social et déviance,10
422,Ordre politique et légitimation,10
423,"Entreprise, institution, organisation",10
424,Les sources de la croissance,10
425,La mondialisation,10
426,Les évolutions du commerce mondial,10
427,La mondialisation - libre échange et protectionnisme,10
428,Comprendre l'EC1 : la mobilisation des connaissances,10
429,Questionnaire EC2 : Etude d'un document,10
430,Questionnaire EC3 : Raisonnement s'appuyant sur dossier documentaire,10
431,Cours inversé - Seconde - Marchés et prix - Comment se forment les prix sur un marché ? Qu'est-ce qu'un marché (1/4),10
432,Cours inversé - Seconde - Marchés et prix - Comment se forment les prix sur un marché ? La loi de la demande (2/4),10
433,Cours inversé - Seconde - Marchés et prix - Comment se forment les prix sur un marché ? La loi de l'offre (3/4),10
434,Défi lecture,10
435,Cartes flash - Instances et mécanismes de socialisation.,10
436,Cours inversé - Seconde - Marchés et prix - Comment se forment les prix sur un marché ? l'équilibre du marché (4/4),10
437,Cours inversé - Première - Sociologie générale et sociologie politique - Ordre politique et légitimation - Quelles sont les formes institutionnelles de l'ordre politique ?,10
438,Jouer avec les pourcentages,10
440,Activites proposees aux eleves (par A. Barrere),11
441,Réaliser une tâche complexe en histoire,5
442,Activité AP : l'analyse d'un tableau,10
443,Activité AP : l'analyse d'un graphique,10
444,Activité AP : la recherche d'informations,10
445,"Rimbaud en RAP : dire, écrire et faire vivre la poésie ",3
446,Activité AP : la compréhension des énoncés,10
448,Les institutions européennes :,10
449,Extensometre.,11
450,Expédition Clipperton ; bilan du point de vue éducatif,11
451,Influence de la culture politique sur les attitudes politiques,10
452,Quelle est la contribution des organisations politiques au fonctionnement de la démocratie ?,10
453,Comment s'organise la compétition politique en démocratie ?,10
454,Cartes flash - L’influence de la mode et de la publicité dans les choix de consommation,10
456,Quelles sont les composantes institutionnelles des régimes politiques démocratiques ?,10
458,Cartes flash - Le processus de socialisation,10
460,Comment expliquer l'instabilité de la croissance ?,10
461,"""Le portrait "" avec le TNI ou le vidéoprojecteur",6
462,Les avantages de l'Union monétaire,10
463,Décroissance radioactive du technetium 99,9
464,Réaliser un croquis à partir d’une visite virtuelle à 360° du port de Rouen,5
465,Microfossiles des silex,11
466,L'évolution du taux de syndicalisation (1),10
467,Lakshmi Mittal : de la petite aciérie indienne au leader mondial de l'acier,14
468,L'évolution du taux de syndicalisation (2),10
469,La pollution automobile,10
470,ArithMusique,7
471,la synthèse des protéines,12
473,"Chrétientés et Islam, des mondes en contact",5
474,Comment produire ?,10
475,Nombre d'or et peinture : sacrement de la dernière Cène,5
476,Géologie de chambray (EURE).,11
477,Comment répartir les revenus et la richesse ?,10
478,Que produit-on et comment le mesure-t-on ?,10
480,Suivi d’acquisition des compétences avec Sacoche,14
482,Quels sont les grands équilibres macroéconomiques ?,10
483,Comment un marché concurrentiel fonctionne-t-il ?,10
485,prevention des risques volcaniques sur le Piton de la Fournaise.,11
486,Quelle est l'influence de la culture politique sur les attitudes politiques ?,10
487,Quels sont les répertoires de l'action politique aujourd'hui ?,10
488,Questionnaire interactif noté sur l'utilisation de l'ampèremètre,9
489,Simulations Java sur la diffraction par une fente,9
490,"#MaVilleEnAcrostiche : écriture poétique, coopération et valorisation du territoire",3
491,Travail d'écriture collaborative,1
492,Liberté et sécurité : GlideApps - Réalisation d'une application smartphone en collaboratif,1
494,Travail collaboratif,10
496,Les mobilités humaines :  l'infographie au service de l'oral,5
497,Construction d'une fiche révision collaborative,10
498,Rédaction d'une étude document collaborative,10
499,Réaliser une tâche complexe sur la cyberdéfense,1
500,Les réécritures - La nourriture,3
501,"Activités de découverte de la spécialité Histoire, Géographie, Géopolitique et Sciences Politiques",5
502,Développer des compétences professionnelles du BTS (Brevet de technicien supérieur)  Assistant de manager en séance d'Activités,14
503,Suivi du carnet de bord en TPE,10
504,Étude du tableau “La liberté guidant le peuple”,5
